sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_spam_tracedist_to_truth,mean_gate_eigenvalue_nonunitarity_excess_to_truth,mean_gate_eigenvalue_diamondnorm_to_truth,mean_gate_eigenvalue_nonunitary_diamondnorm_to_truth,mean_gate_diamond_distance_to_truth
11,11,11,10,274197.1606484072,0.009131242826599384,0.006087495217732923,0.01926634761395615,0.01272197395379231,0.014023688835287526,0.01812385460838589,0.016647817613722596,0.04610672670082891
12,12,12,12,196045.71810361883,0.005241674787471756,0.003494449858314504,0.019657969211198962,0.013221999116141421,0.008006007376346533,0.01430972154455436,0.01002456738622376,0.045615272994245185
13,13,13,12,196045.71810361883,0.005241674787471756,0.003494449858314504,0.019657969211198962,0.013221999116141421,0.008006007376346533,0.01430972154455436,0.01002456738622376,0.045615272994245185
14,14,14,12,196045.71810361883,0.005241674787471756,0.003494449858314504,0.019657969211198962,0.013221999116141421,0.008006007376346533,0.01430972154455436,0.01002456738622376,0.045615272994245185
15,15,15,15,89345.33672358049,0.003752639519258444,0.0025017596795056294,0.008258542889667448,0.007629692624623944,0.004362232468786274,0.010335118901854672,0.005486596655343193,0.023318252743324913
16,16,16,15,89345.33672358049,0.003752639519258444,0.0025017596795056294,0.008258542889667448,0.007629692624623944,0.004362232468786274,0.010335118901854672,0.005486596655343193,0.023318252743324913
17,17,17,17,37607.711688841504,0.0020861056505244724,0.0013907371003496483,0.004544828946528433,0.0028078886520519525,0.0034994522056816454,0.005891644459754349,0.0049203901628110044,0.012483745166072376
18,18,18,17,37607.711688841504,0.0020861056505244724,0.0013907371003496483,0.004544828946528433,0.0028078886520519525,0.0034994522056816454,0.005891644459754349,0.0049203901628110044,0.012483745166072376
19,19,19,19,25167.804398566932,0.001026131734533059,0.0006840878230220393,0.0024302100811894023,0.001680110222381832,0.0024274054187297875,0.0035302372046962234,0.0028637800261673493,0.007844258929359298
20,20,20,20,19669.092234215404,0.0015196662290824225,0.0010131108193882818,0.0017639897240611067,0.001422912217044714,0.0019787521935721517,0.002795478356143218,0.0027901247802957427,0.005749360486481209
21,21,21,21,10908.993431343904,0.000891047767494324,0.000594031844996216,0.0010239863724349613,0.0007442752760484124,0.0011153019442148998,0.0015729679267665506,0.0015132985663143667,0.003508718467337114
22,22,22,22,7512.878092286626,0.00045548192034849944,0.00030365461356566625,0.0016974977864477089,0.0011975948696733645,0.00048056994837666206,0.002667445772829905,0.0006748692657341376,0.0048290684736583865
23,23,23,23,2585.4129456127002,0.00023585522510005674,0.00015723681673337114,0.0012442126992047323,0.0009670537673194613,0.00030001828206572406,0.0004894968856486674,0.0004028985123779444,0.0014506703271491104
24,24,24,24,2241.0932579884434,0.000229612546759822,0.0001530750311732147,0.0008588219717287582,0.0006219179057015816,0.00023605778398296667,0.0004371695836368421,0.00034043241916170697,0.0011964343354271348
25,25,25,24,2241.0932579884434,0.000229612546759822,0.0001530750311732147,0.0008588219717287582,0.0006219179057015816,0.00023605778398296667,0.0004371695836368421,0.00034043241916170697,0.0011964343354271348
26,26,26,26,1416.3358633716025,0.00010485136025048525,6.990090683365684e-05,0.0008035164019822375,0.0005668962189943811,0.00010162269525457179,0.0003024762993850359,0.00014892906194782785,0.0010235423179244933
27,27,27,27,1216.6030000641315,9.391860386992468e-05,6.26124025799498e-05,0.0009445854688271135,0.0007092480605400577,9.726065206398099e-05,0.00022962253639877524,0.00014418941967144633,0.0009434021730695084
28,28,28,27,1216.6030000641315,9.391860386992468e-05,6.26124025799498e-05,0.0009445854688271135,0.0007092480605400577,9.726065206398099e-05,0.00022962253639877524,0.00014418941967144633,0.0009434021730695084
29,29,29,29,1006.2376183414362,5.529883881399966e-05,3.686589254266644e-05,0.0008893597526215214,0.000667732759209104,5.0157439406214865e-05,0.00017740069743487545,7.318077842904253e-05,0.0008721580972995734
30,30,30,30,939.8272637261086,3.282515599212221e-05,2.1883437328081474e-05,0.0009038115368056218,0.0006732048621002882,2.7285600077156524e-05,0.00015035776608298275,4.98187066726441e-05,0.0008197745873316874
31,31,31,30,939.8272637261086,3.282515599212221e-05,2.1883437328081474e-05,0.0009038115368056218,0.0006732048621002882,2.7285600077156524e-05,0.00015035776608298275,4.98187066726441e-05,0.0008197745873316874
