iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
67,67,0.6756080821653917,0.00078125,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
68,68,-2.0384044304138365,0.000390625,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
69,69,0.17465434995755685,0.00078125,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
70,70,-2.2649076329650346,0.000390625,lazy_delta_inverse_square,10000,0,0,929,929,435500,435500,0,True,781650
71,71,0.11120531478251028,0.00078125,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
72,72,-2.400763587643952,0.000390625,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
73,73,0.0001246492979866643,0.0001953125,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
74,74,0.6723465941104739,0.000390625,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
75,75,-3.412442166786331,0.0001953125,lazy_delta_inverse_square,10000,0,0,929,929,435500,435500,0,True,781650
76,76,-0.6376515517606567,9.765625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
77,77,0.29697159142270246,0.0001953125,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
78,78,-0.26873448304916214,9.765625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
79,79,0.26242310387528933,0.0001953125,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
80,80,-1.1919918665041673,9.765625e-05,lazy_delta_inverse_square,11365,0,0,929,929,435500,435500,0,True,781650
81,81,0.04291904057714435,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
82,82,0.6366549304593162,9.765625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
83,83,-0.22402383719086533,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
84,84,0.42153349093506753,9.765625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
85,85,-1.0090755101532651,4.8828125e-05,lazy_delta_inverse_square,13175,0,0,929,929,435500,435500,0,True,781650
86,86,-0.030958282061814377,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
87,87,0.5095703835478569,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
88,88,-0.13557708976594443,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
89,89,0.46100864141968717,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
90,90,-0.47846552077582843,2.44140625e-05,lazy_delta_inverse_square,15275,0,0,929,929,435500,435500,0,True,781650
91,91,0.3109372636867331,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
92,92,-0.13389598746405737,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
93,93,0.4600827272955398,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
94,94,-0.564610704341136,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
95,95,0.27581839506445543,4.8828125e-05,lazy_delta_inverse_square,17705,0,0,929,929,435500,435500,0,True,781650
96,96,-0.13238280479306155,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
97,97,0.4583460401455038,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
98,98,-0.6425559401102042,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
99,99,0.2315388035717101,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
100,100,-0.12729425636132782,2.44140625e-05,lazy_delta_inverse_square,20525,0,0,929,929,435500,435500,0,True,781650
101,101,0.4593036672405567,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
102,102,-0.7227070086192969,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
103,103,0.20001074118291748,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
104,104,-0.12715127891136205,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
105,105,0.4609725327673919,4.8828125e-05,lazy_delta_inverse_square,23795,0,0,929,929,435500,435500,0,True,781650
106,106,-0.8081382329393594,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
107,107,0.16169492331164964,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
108,108,-0.12238246824594873,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
109,109,0.4617221378435676,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
110,110,-0.781362622481129,2.44140625e-05,lazy_delta_inverse_square,27585,0,0,929,929,435500,435500,0,True,781650
111,111,0.12734696495981732,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
112,112,-0.11469373705680978,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
113,113,0.46559826087664746,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
114,114,-0.7483665606425502,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
115,115,0.09958684294710096,4.8828125e-05,lazy_delta_inverse_square,31980,0,0,929,929,435500,435500,0,True,781650
116,116,-0.10504730499399739,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
117,117,0.46934336026003726,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
118,118,-0.7150265594127074,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
119,119,0.07684994879956795,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
120,120,-0.09902405722293846,2.44140625e-05,lazy_delta_inverse_square,37070,0,0,929,929,435500,435500,0,True,781650
121,121,0.4717491519968535,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
122,122,-0.6909004616323727,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
123,123,0.0577692623584908,4.8828125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
124,124,-0.08735049242717206,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
125,125,0.474573593331921,4.8828125e-05,lazy_delta_inverse_square,42975,0,0,929,929,435500,435500,0,True,781650
126,126,-0.6726804458589684,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
127,127,0.044143284563385225,1.220703125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
128,128,0.7392246203090447,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
129,129,-0.07849827233246769,1.220703125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
130,130,0.4818834560802692,2.44140625e-05,lazy_delta_inverse_square,49820,0,0,929,929,435500,435500,0,True,781650
131,131,-0.0027090736006737874,1.220703125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
132,132,0.5159473346794053,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
133,133,-0.07927675154646631,1.220703125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
134,134,0.4782155337847921,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
135,135,-0.01515347469361752,1.220703125e-05,lazy_delta_inverse_square,57755,0,0,929,929,435500,435500,0,True,781650
136,136,0.5092763842071589,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
137,137,-0.070115373805081,1.220703125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
138,138,0.4820097261450961,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
139,139,-0.02571637087464965,1.220703125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
140,140,0.5040012875299612,2.44140625e-05,lazy_delta_inverse_square,66955,0,0,929,929,435500,435500,0,True,781650
141,141,-0.05259505706947635,1.220703125e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
142,142,0.48565847488394115,2.44140625e-05,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
