sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
20,20,20,19,18824.23677199232,0.0030093244068196967,0.0020062162712131313,0.010261632796686597,0.01584316429122154
21,21,21,21,14735.104775762597,0.004610469131873046,0.0030736460879153635,0.004199168371361868,0.013959174742612409
22,22,22,21,14735.104775762597,0.004610469131873046,0.0030736460879153635,0.004199168371361868,0.013959174742612409
23,23,23,23,13640.987730731407,0.0018269310357161006,0.0012179540238107336,0.006786744427580746,0.010692689961919289
24,24,24,24,11821.102932971598,0.0037836405550587537,0.002522427036705836,0.0029949060296409805,0.012843900326880302
25,25,25,24,11821.102932971598,0.0037836405550587537,0.002522427036705836,0.0029949060296409805,0.012843900326880302
26,26,26,24,11821.102932971598,0.0037836405550587537,0.002522427036705836,0.0029949060296409805,0.012843900326880302
27,27,27,24,11821.102932971598,0.0037836405550587537,0.002522427036705836,0.0029949060296409805,0.012843900326880302
28,28,28,28,8658.546173402501,0.00245984833930335,0.0016398988928688998,0.004608106622902854,0.007970042811856592
29,29,29,28,8658.546173402501,0.00245984833930335,0.0016398988928688998,0.004608106622902854,0.007970042811856592
30,30,30,30,6839.036382579317,0.0015546969840621316,0.001036464656041421,0.0037221514528170837,0.006180974706847684
31,31,31,31,5550.5349459429835,0.0011478806817243614,0.000765253787816241,0.004218225991689571,0.0057654300253575045
32,32,32,31,5550.5349459429835,0.0011478806817243614,0.000765253787816241,0.004218225991689571,0.0057654300253575045
33,33,33,33,2853.7116006575557,0.00043670980475546406,0.00029113986983697604,0.002752339538870405,0.00397556150962774
34,34,34,34,2041.8233525015476,0.0005235851837739058,0.0003490567891826039,0.003480971346073053,0.002732176092199444
35,35,35,35,1987.593783694489,0.0005227687736489017,0.00034851251576593445,0.0035581975764492186,0.003138208576175879
36,36,36,36,1895.8314974697723,0.0005351917863306577,0.00035679452422043845,0.003193002418258133,0.002532477886550489
37,37,37,37,1827.5567295807555,0.0004927478639201455,0.00032849857594676363,0.003069447542821553,0.0022191192699790715
38,38,38,37,1827.5567295807555,0.0004927478639201455,0.00032849857594676363,0.003069447542821553,0.0022191192699790715
39,39,39,39,1248.0739025009923,0.00024850006679361103,0.00016566671119574067,0.0031029893779611364,0.001991130235260241
40,40,40,40,1221.0614211518202,0.00024796181955008545,0.00016530787970005695,0.003034583339544405,0.0017443506041861592
41,41,41,40,1221.0614211518202,0.00024796181955008545,0.00016530787970005695,0.003034583339544405,0.0017443506041861592
42,42,42,42,1010.0012068690435,0.00012528687446539122,8.352458297692748e-05,0.003121317209045413,0.0016195611311731915
43,43,43,42,1010.0012068690435,0.00012528687446539122,8.352458297692748e-05,0.003121317209045413,0.0016195611311731915
44,44,44,42,1010.0012068690435,0.00012528687446539122,8.352458297692748e-05,0.003121317209045413,0.0016195611311731915
45,45,45,42,1010.0012068690435,0.00012528687446539122,8.352458297692748e-05,0.003121317209045413,0.0016195611311731915
46,46,46,46,980.0892059011827,0.00010503049938487274,7.00203329232485e-05,0.0028980022767321877,0.0015262301447050493
47,47,47,46,980.0892059011827,0.00010503049938487274,7.00203329232485e-05,0.0028980022767321877,0.0015262301447050493
48,48,48,48,975.0402530920996,9.365501254424147e-05,6.243667502949432e-05,0.0029152286937867305,0.001497310231777091
49,49,49,48,975.0402530920996,9.365501254424147e-05,6.243667502949432e-05,0.0029152286937867305,0.001497310231777091
50,50,50,48,975.0402530920996,9.365501254424147e-05,6.243667502949432e-05,0.0029152286937867305,0.001497310231777091
51,51,51,51,972.9222650105577,8.913184796513485e-05,5.9421231976756556e-05,0.00294908578452303,0.0014926051820972337
52,52,52,51,972.9222650105577,8.913184796513485e-05,5.9421231976756556e-05,0.00294908578452303,0.0014926051820972337
53,53,53,51,972.9222650105577,8.913184796513485e-05,5.9421231976756556e-05,0.00294908578452303,0.0014926051820972337
54,54,54,54,973.1994085444221,8.990150282361942e-05,5.993433521574628e-05,0.002950934558320971,0.001493464699099219
55,55,55,54,973.1994085444221,8.990150282361942e-05,5.993433521574628e-05,0.002950934558320971,0.001493464699099219
