phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
trial,34,34,33,574.5677381977528,1131.7721838616853,500.51710541526006,1044.0164911483744,1764,882,0,0,1764,882,48332,24166,1764000.0,48332000.0,2000.0,True,True,690,345,0,0,1764,882,0.0125,20974.23455534903,-0.8138773231332553,-0.8138773231332553,-0.9645071971903522,False,-90.98500557481249,0.01156903523587323,False
trial,35,35,35,459.4648664979526,1001.1785156273211,459.4648664979526,1001.1785156273211,1764,882,0,0,1764,882,50096,25048,1764000.0,50096000.0,2000.0,True,True,690,345,0,0,1764,882,0.00625,20974.23455534903,0.45253389346806455,0.45253389346806455,0.4722187233169145,False,-90.71638502631747,0.00625,True
trial,36,36,35,641.9065207019946,1204.9373840904136,459.4648664979526,1001.1785156273211,1764,882,0,0,1764,882,51860,25930,1764000.0,51860000.0,2000.0,True,True,690,345,0,0,1764,882,0.0125,14579.735607449053,-3.6500388279570433,-3.6500388279570433,-4.076523997086199,False,-49.983483136303,0.011589441658811029,False
trial,37,37,37,442.3099587088248,976.8966750039319,442.3099587088248,976.8966750039319,1764,882,0,0,1764,882,53624,26812,1764000.0,53624000.0,2000.0,True,True,690,345,0,0,1764,882,0.00625,14579.735607449053,0.34637664691198866,0.34637664691198866,0.4902773386698848,False,-49.5267447793231,0.00625,True
trial,38,38,37,592.0285652383737,1155.230082414081,442.3099587088248,976.8966750039319,1764,882,0,0,1764,882,55388,27694,1764000.0,55388000.0,2000.0,True,True,690,345,0,0,1764,882,0.0125,11604.766205377857,-4.587515291535759,-4.587515291535759,-5.464299010318873,False,-32.6360997217358,0.0125,False
trial,39,39,39,437.0245811946245,971.6009524127585,437.0245811946245,971.6009524127585,1764,882,0,0,1764,882,57152,28576,1764000.0,57152000.0,2000.0,True,True,690,345,0,0,1764,882,0.00625,11604.766205377857,0.16349294266818845,0.16349294266818845,0.16381294763886856,False,-32.32786338017708,0.00625,True
trial,40,40,39,706.0973931060596,1276.7568013069558,437.0245811946245,971.6009524127585,1764,882,0,0,1764,882,58916,29458,1764000.0,58916000.0,2000.0,True,True,690,345,0,0,1764,882,0.0125,10937.55744142296,-9.804127692584169,-9.804127692584169,-11.118874803606587,False,-27.444849796781153,0.012401334679831578,False
trial,41,41,39,449.6172892843885,984.9287863493566,437.0245811946245,971.6009524127585,1764,882,0,0,1764,882,60680,30340,1764000.0,60680000.0,2000.0,True,True,690,345,0,0,1764,882,0.00625,10937.55744142296,-0.4667687819395199,-0.4667687819395199,-0.4940173922982357,False,-26.978471091058694,0.00625,False
trial,42,42,42,416.0419129559486,945.7504076799978,416.0419129559486,945.7504076799978,1764,882,0,0,1764,882,62444,31222,1764000.0,62444000.0,2000.0,True,True,690,345,0,0,1764,882,0.003125,10937.55744142296,0.7889254190066355,0.7889254190066355,0.9719522609260851,False,-26.596516899019345,0.003125,True
trial,43,43,42,457.36364240808507,993.5549050471559,416.0419129559486,945.7504076799978,1764,882,0,0,1764,882,64208,32104,1764000.0,64208000.0,2000.0,True,True,690,345,0,0,1764,882,0.00625,4424.327529794318,-7.021943062052858,-7.021943062052858,-8.123582025071412,False,-5.8846574355526196,0.00625,False
trial,44,44,44,415.8753258735983,945.1851974294555,415.8753258735983,945.1851974294555,1764,882,0,0,1764,882,65972,32986,1764000.0,65972000.0,2000.0,True,True,690,345,0,0,1764,882,0.003125,4424.327529794318,0.030417988190619766,0.030417988190619766,0.1032046331783483,False,-5.476597640394769,0.003125,True
trial,45,45,45,412.34224900604,940.3140587297794,412.34224900604,940.3140587297794,1764,882,0,0,1764,882,67736,33868,1764000.0,67736000.0,2000.0,True,True,690,345,0,0,1764,882,0.0015625,3867.3059998424123,0.7193601018779151,0.7193601018779151,0.9917992057959705,False,-4.911416213291605,0.0015625,True
trial,46,46,45,416.58144852262103,945.873248635101,412.34224900604,940.3140587297794,1764,882,0,0,1764,882,69500,34750,1764000.0,69500000.0,2000.0,True,True,690,345,0,0,1764,882,0.003125,1828.354601663387,-2.462033201542221,-2.462033201542221,-3.228654387944195,False,-1.7218287364791012,0.003125,False
trial,47,47,47,412.1474443907289,940.4402078251832,412.1474443907289,940.4402078251832,1764,882,0,0,1764,882,71264,35632,1764000.0,71264000.0,2000.0,True,True,690,345,0,0,1764,882,0.0015625,1828.354601663387,0.13285590398918817,0.13285590398918817,-0.08603313674329965,False,-1.466284970873156,0.0015625,True
trial,48,48,47,417.55456949997523,948.2347156818369,412.1474443907289,940.4402078251832,1764,882,0,0,1764,882,73028,36514,1764000.0,73028000.0,2000.0,True,True,690,345,0,0,1764,882,0.003125,1429.7283017824325,-3.131946305904651,-3.131946305904651,-4.514779960657111,False,-1.7264424677563313,0.003125,False
trial,49,49,47,412.45353262923163,940.6384928253567,412.1474443907289,940.4402078251832,1764,882,0,0,1764,882,74792,37396,1764000.0,74792000.0,2000.0,True,True,690,345,0,0,1764,882,0.0015625,1429.7283017824325,-0.22212657257495533,-0.22212657257495533,-0.14389434790770997,False,-1.3779901925037126,0.0015625,False
trial,50,50,50,411.62482881551375,939.0952867813969,411.62482881551375,939.0952867813969,1764,882,0,0,1764,882,76556,38278,1764000.0,76556000.0,2000.0,True,True,690,345,0,0,1764,882,0.00078125,1429.7283017824325,0.5516832320590047,0.5516832320590047,1.419724982353906,False,-0.9473109655057113,0.00078125,True
trial,51,51,50,412.1724729081192,939.9434438085045,411.62482881551375,939.0952867813969,1764,882,0,0,1764,882,78320,39160,1764000.0,78320000.0,2000.0,True,True,690,345,0,0,1764,882,0.0015625,515.1146125109367,-1.1793445863344354,-1.1793445863344354,-1.8264953676795521,False,-0.46436308687995653,0.0015625,False
trial,52,52,52,411.56778243570943,939.0283977875888,411.56778243570943,939.0283977875888,1764,882,0,0,1764,882,80084,40042,1764000.0,80084000.0,2000.0,True,True,690,345,0,0,1764,882,0.00078125,515.1146125109367,0.17800810950718796,0.17800810950718796,0.20872110334541377,False,-0.3204706794665202,0.00078125,True
trial,53,53,52,412.33077907553593,939.9221016916166,411.56778243570943,939.0283977875888,1764,882,0,0,1764,882,81848,40924,1764000.0,81848000.0,2000.0,True,True,690,345,0,0,1764,882,0.0015625,438.96031885062433,-1.4204484760396208,-1.4204484760396208,-1.6637823579349218,False,-0.5371519296172025,0.0015625,False
