iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
70,70,0.36283689220304677,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,222474,1666000,1443526,False,222474
71,71,0.2807931450040969,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,222474,1666000,1443526,False,222474
72,72,-3.130371227384188,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,222474,1666000,1443526,False,222474
73,73,0.08885458972141931,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,222474,1666000,1443526,False,222474
74,74,-6.275630784177505,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,222474,1666000,1443526,False,222474
75,75,-0.20655657345190623,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,232474,1666000,1433526,False,232474
76,76,0.8892463940564271,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,232474,1666000,1433526,False,232474
77,77,-0.7665724110263408,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,232474,1666000,1433526,False,232474
78,78,-0.025812994533485893,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,232474,1666000,1433526,False,232474
79,79,0.6656014866662595,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,232474,1666000,1433526,False,232474
80,80,-0.5351697327060492,0.000390625,lazy_delta_inverse_square,11365,11365,11365,1918,1918,243839,1666000,1422161,False,243839
81,81,0.9243020526930015,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,243839,1666000,1422161,False,243839
82,82,0.5880834219740353,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,243839,1666000,1422161,False,243839
83,83,-3.5988104333313693,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,243839,1666000,1422161,False,243839
84,84,-0.47687728558458875,0.000390625,lazy_delta_inverse_square,0,0,0,1918,1918,243839,1666000,1422161,False,243839
85,85,0.5238292126858378,0.00078125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,253839,1666000,1412161,False,253839
86,86,0.8759493408564195,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,253839,1666000,1412161,False,253839
87,87,-3.4575015612688462,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,253839,1666000,1412161,False,253839
88,88,0.0670379793564394,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,253839,1666000,1412161,False,253839
89,89,-0.41476442772600697,0.00078125,lazy_delta_inverse_square,0,0,0,1918,1918,253839,1666000,1412161,False,253839
