batch_size_circuits,batch_size_over_p,repeat,num_parameters,full_num_circuits,full_num_probability_entries,optimizer,max_nfev,success,status,message,nfev,njev,oracle_calls,elapsed_seconds,train_num_probability_entries,train_objective,train_rmse,train_max_abs_residual,full_objective,full_rmse,full_max_abs_residual,x_distance_to_true_l2_gauge_dependent
3232,2.0,4,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,17,11,17,177.0222492860048,12928,2.1507222516118192e-27,4.0787444183735275e-16,3.608224830031759e-15,0.9750593193995486,0.005281165855894883,0.40622190404136893,1.3061703990383975
3232,2.0,5,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,18,11,18,184.5746917159995,12928,1.6151968203033569e-27,3.5346551862610804e-16,8.798517470154366e-15,0.5743669805622593,0.004053302537157882,0.19059318377826415,1.1622458862484284
3232,2.0,6,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,18,11,18,183.09563627600437,12928,1.4335791098612552e-27,3.33000710548272e-16,1.609823385706477e-15,1.0897483243024106,0.005583125535120595,0.4546530428003609,0.8510408736644305
3232,2.0,7,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,15,10,15,151.72438979399158,12928,3.935063374332036e-26,1.7446575485123411e-15,7.716050021144838e-15,0.9719052146192557,0.005272617225725532,0.4358014667706362,1.3933990458161634
3232,2.0,8,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,18,11,18,183.20144753699424,12928,2.3938601378697423e-27,4.3031225511487947e-16,3.774758283725532e-15,1.6773606904157736,0.006926718182737037,0.37301063802409357,1.4039817183434806
3232,2.0,9,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,21,14,21,215.01995508099208,12928,3.120854791302497e-22,1.5537141083227202e-13,8.862327538494696e-12,0.00041037787294648264,0.00010834434692179758,0.007674115071488519,0.8513775658129825
3232,2.0,10,1616,8740,34960,trf,25,False,0,The maximum number of function evaluations is exceeded.,25,17,25,258.53165445099876,12928,1.8960270846832582e-16,1.2110347265130714e-10,6.88052209651957e-09,77.34011086489939,0.04703451641211841,3.3280819105225223,0.9149748032564061
3232,2.0,11,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,16,11,16,163.6775477409974,12928,3.314304961391179e-27,5.063263878159017e-16,2.3869795029440866e-15,84.47750146328666,0.049156937497148744,3.284001891459626,1.4235356993968975
3232,2.0,12,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,20,13,20,204.4543532950047,12928,8.780918668213663e-28,2.6061793874456264e-16,1.2490009027033011e-15,0.5542146425639423,0.00398156019465194,0.3099734836212753,1.28579754359358
3232,2.0,13,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,22,13,22,224.5499390079931,12928,5.164957692938094e-19,6.3207368896198206e-12,3.173015183932648e-10,0.003030935444335852,0.00029444394731475336,0.016190754319646478,0.7509352583960625
3232,2.0,14,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,19,12,19,195.33615990799444,12928,5.6889652012141385e-28,2.0977366547594415e-16,1.887379141862766e-15,1.5531770504801297,0.006665377796444856,0.39061349812435764,1.0315912129150127
3232,2.0,15,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,18,11,18,185.4469399290101,12928,4.234543589849866e-27,5.723182992015987e-16,5.578870698741412e-15,6.631247361173707,0.013772472130736924,0.7951710784280006,1.2247680170140018
3232,2.0,16,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,20,12,20,202.09511370700784,12928,1.1130589937855938e-27,2.9342250463661994e-16,1.2212453270876722e-15,1.3097245563053233,0.006120744812258425,0.23019437829043737,1.4130993167073076
3232,2.0,17,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,18,10,18,182.92876844700368,12928,1.1939163986783743e-27,3.0389341319110326e-16,1.887379141862766e-15,1.638926336592127,0.006846900317140892,0.38570532773367483,0.7290228464609532
3232,2.0,18,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,17,11,17,173.9828960589948,12928,3.196525030418876e-25,4.9724838704343894e-15,3.466671394392051e-14,1.548144748693943,0.006654571106407884,0.3796335456272866,1.390813377535121
3232,2.0,19,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,16,11,16,165.23542312798963,12928,1.8333199189729096e-23,3.7657670996081195e-14,2.433608869978343e-13,23.746857080216987,0.026062577110399065,1.6597249825969715,1.1227259446590976
3232,2.0,20,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,17,10,17,183.16278845899797,12928,1.5084599167906573e-20,1.0801926441647456e-12,1.0873135725120164e-11,0.25110247489174475,0.002680030796702561,0.20507856504914923,0.8624827544559233
3232,2.0,21,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,17,10,17,174.93936286600365,12928,8.372607830590552e-21,8.04756888918799e-13,6.1194382894314e-12,0.09967336544367607,0.0016885108248386037,0.11979170865821848,0.8622050982539823
3232,2.0,22,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,18,11,18,183.39352379400225,12928,5.928751760412952e-28,2.1414895604340774e-16,1.5543122344752192e-15,10.116806147679672,0.017011241191597665,0.9371301104189771,1.032944908164216
3232,2.0,23,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,18,11,18,184.5573046329955,12928,7.08900056640451e-28,2.3416761561540735e-16,1.2212453270876722e-15,1.749428154084935,0.0070739558303247844,0.3884639857882034,0.8289615834042252
3232,2.0,24,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,16,10,16,162.004375591001,12928,1.231391125668747e-27,3.086258776725942e-16,9.325873406851315e-15,46.42241778243081,0.03643998301588075,2.505820019971222,0.9663041581101964
3232,2.0,25,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,17,11,17,177.0417595530016,12928,9.641304568526927e-26,2.730877564345789e-15,2.2593038551121936e-14,1.0232470230919135,0.0054100905360162195,0.2977310906514007,1.3004728720893817
3232,2.0,26,1616,8740,34960,trf,25,True,1,`gtol` termination condition is satisfied.,18,11,18,183.63436409499263,12928,4.656329270510664e-21,6.001449694986209e-13,1.1585982173656362e-11,1.448721973361615,0.0064373453934059655,0.3189758047428787,0.7586396491028389
