sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_spam_tracedist_to_truth,mean_gate_eigenvalue_nonunitarity_excess_to_truth,mean_gate_eigenvalue_diamondnorm_to_truth,mean_gate_eigenvalue_nonunitary_diamondnorm_to_truth,mean_gate_diamond_distance_to_truth
15,15,15,15,9153.954146046943,0.0005325231035706868,0.0003550154023804578,0.0011027309834470516,0.0010672818087542298,0.001407899686319665,0.0017697538642584163,0.0017494462965394336,0.003727835195935475
16,16,16,15,9153.954146046943,0.0005325231035706868,0.0003550154023804578,0.0011027309834470516,0.0010672818087542298,0.001407899686319665,0.0017697538642584163,0.0017494462965394336,0.003727835195935475
17,17,17,17,6484.396744217627,0.0003430036353673782,0.00022866909024491883,0.0009520621321243359,0.0007083157445231727,0.0011518841897419987,0.0014106695539042372,0.0015155056678008982,0.00281867291956655
18,18,18,18,3219.8848424021044,0.00026042209079421563,0.00017361472719614374,0.0008241197304122183,0.0007207540046295229,0.000394403086551795,0.0005613898047784139,0.0005492299861379127,0.0014610413001741674
19,19,19,18,3219.8848424021044,0.00026042209079421563,0.00017361472719614374,0.0008241197304122183,0.0007207540046295229,0.000394403086551795,0.0005613898047784139,0.0005492299861379127,0.0014610413001741674
20,20,20,20,2411.0367768264814,0.0002087102409030761,0.00013914016060205073,0.0010112351826023357,0.000872190524608661,0.0003408280260964805,0.0004909726112951789,0.00046486695893736135,0.0012568879992924276
21,21,21,20,2411.0367768264814,0.0002087102409030761,0.00013914016060205073,0.0010112351826023357,0.000872190524608661,0.0003408280260964805,0.0004909726112951789,0.00046486695893736135,0.0012568879992924276
22,22,22,20,2411.0367768264814,0.0002087102409030761,0.00013914016060205073,0.0010112351826023357,0.000872190524608661,0.0003408280260964805,0.0004909726112951789,0.00046486695893736135,0.0012568879992924276
23,23,23,23,1152.3720930673708,4.727873746243616e-05,3.151915830829077e-05,0.0006822859118432757,0.0005716674305646288,0.00014809509106878532,0.00019213873420091747,0.00017337201758381438,0.0006119142190525728
24,24,24,23,1152.3720930673708,4.727873746243616e-05,3.151915830829077e-05,0.0006822859118432757,0.0005716674305646288,0.00014809509106878532,0.00019213873420091747,0.00017337201758381438,0.0006119142190525728
25,25,25,23,1152.3720930673708,4.727873746243616e-05,3.151915830829077e-05,0.0006822859118432757,0.0005716674305646288,0.00014809509106878532,0.00019213873420091747,0.00017337201758381438,0.0006119142190525728
26,26,26,26,960.173647835123,1.4494357498895383e-05,9.662904999263588e-06,0.0007391551683485583,0.00064183143714824,4.191403516537462e-05,0.00010229118892048248,5.544715857192656e-05,0.0004325911952855622
27,27,27,26,960.173647835123,1.4494357498895383e-05,9.662904999263588e-06,0.0007391551683485583,0.00064183143714824,4.191403516537462e-05,0.00010229118892048248,5.544715857192656e-05,0.0004325911952855622
28,28,28,26,960.173647835123,1.4494357498895383e-05,9.662904999263588e-06,0.0007391551683485583,0.00064183143714824,4.191403516537462e-05,0.00010229118892048248,5.544715857192656e-05,0.0004325911952855622
29,29,29,29,931.4297533382432,2.374089621060005e-06,1.5827264140400032e-06,0.0007144198939023596,0.0006325331886345325,1.1740810486202125e-05,9.413762669897857e-05,2.9623341590130636e-05,0.00040895852541968775
30,30,30,29,931.4297533382432,2.374089621060005e-06,1.5827264140400032e-06,0.0007144198939023596,0.0006325331886345325,1.1740810486202125e-05,9.413762669897857e-05,2.9623341590130636e-05,0.00040895852541968775
